Individual Name,Site,Above Ground Biomass,Below Ground Biomass,Root_to_shoot_Ratio,Area,Wet Mass (g),Dry mass,Treatment,Environmental_Zone,Root Diameter,SLA,SLA Date,Collection Month,Location
Cal Poly 1,Cal Poly,0.74,0.6,0.810810811,2.22,0.059,0.005,Urban,3,1.3,444,2/22/2022,July,Cal Poly SLO
Cal Poly 10,Cal Poly,0.05,0.76,15.2,2.41,0.063,0.005,Urban,3,1.2,482,2/22/2022,July,Cal Poly SLO
Cal Poly 11,Cal Poly,0.04,0.56,14,1.2,0.041,0.003,Urban,3,1.3,400,2/22/2022,July,Cal Poly SLO
Cal Poly 15,Cal Poly,0.09,0.63,7,1.14,0.033,0.005,Urban,3,1.5,228,2/22/2022,July,Cal Poly SLO
Cal Poly 16,Cal Poly,0.1,0.99,9.9,1.78,0.082,0.006,Urban,3,1.3,296.6666667,2/22/2022,July,Cal Poly SLO
Cal Poly 17,Cal Poly,0.02,0.15,7.5,1.57,0.039,0.004,Urban,3,0.9,392.5,2/22/2022,July,Cal Poly SLO
Cal Poly 19,Cal Poly,0.06,0.64,10.66666667,3.18,0.098,0.009,Urban,3,1.5,353.3333333,2/22/2022,July,Cal Poly SLO
Cal Poly 2,Cal Poly,0.07,1.21,17.28571429,2.92,0.089,0.008,Urban,3,1.1,365,2/22/2022,July,Cal Poly SLO
Cal Poly 21,Cal Poly,0.19,1.19,6.263157895,4.7,0.087,0.012,Urban,3,1.5,391.6666667,2/22/2022,July,Cal Poly SLO
Cal Poly 24,Cal Poly,0.03,0.34,11.33333333,1.18,0.032,0.004,Urban,3,1,295,2/22/2022,July,Cal Poly SLO
Cal Poly 25,Cal Poly,0.07,0.39,5.571428571,2.42,0.078,0.006,Urban,3,1.2,403.3333333,2/22/2022,July,Cal Poly SLO
Cal Poly 26,Cal Poly,0.06,0.81,13.5,3.21,0.08,0.008,Urban,3,1.2,401.25,2/22/2022,July,Cal Poly SLO
Cal Poly 29,Cal Poly,0.06,0.25,4.166666667,0.7,0.023,0.003,Urban,3,1.1,233.3333333,2/22/2022,July,Cal Poly SLO
Cal Poly 6,Cal Poly,0.07,0.56,8,2.8,0.104,0.008,Urban,3,1.3,350,2/22/2022,July,Cal Poly SLO
Cal Poly 7,Cal Poly,0.04,0.59,14.75,1.29,0.036,0.003,Urban,3,1,430,2/22/2022,July,Cal Poly SLO
Seaside 4,Seaside,0.02,0.34,17,1.23,0.03,0.003,Urban,3,1.5,410,2/22/2022,July,CSU Monterrey
Seaside 10,Seaside,0.04,0.15,3.75,1.34,0.033,0.003,Urban,3,1.1,446.6666667,2/22/2022,July,CSU Monterrey
Seaside 13,Seaside,0.03,0.27,9,1.57,0.056,0.003,Urban,3,1.2,523.3333333,2/22/2022,July,CSU Monterrey
Seaside 20 s1,Seaside,0.07,0.39,5.571428571,2.63,0.07,0.005,Urban,3,1.3,526,2/22/2022,July,CSU Monterrey
Seaside 21,Seaside,0.11,1.03,9.363636364,2.04,0.061,0.006,Urban,3,1.9,340,2/22/2022,July,CSU Monterrey
Seaside 24,Seaside,0.04,0.47,11.75,0.71,0.021,0.001,Urban,3,1.2,710,2/22/2022,July,CSU Monterrey
Seaside 26,Seaside,0.03,0.38,12.66666667,1.52,0.037,0.003,Urban,3,1.5,506.6666667,2/22/2022,July,CSU Monterrey
Seaside 27,Seaside,NA,NA,NA,2.87,0.066,0.005,Urban,3,1.4,574,2/22/2022,July,CSU Monterrey
Seaside 30,Seaside,0.03,0.38,12.66666667,1.4,0.034,0.003,Urban,3,1.4,466.6666667,2/22/2022,July,CSU Monterrey
Griff 10,Griff,0.22,1.04,4.727272727,1.82,0.06,0.006,Urban,3,1.1,303.3333333,2/21/2022,July,Debbs Park
Griff 11,Griff,0.13,1.03,7.923076923,2.94,0.102,0.008,Urban,3,1.7,367.5,2/21/2022,July,Debbs Park
Griff 13,Griff,0.03,1.13,37.66666667,1.87,0.04,0.005,Urban,3,1.4,374,2/21/2022,July,Debbs Park
