Site,Latitude,Longitude,Location,Impervious_Surface
Cal Poly,35.3089,-120.6547,Central,6.32
Dark,34.4647,-119.6881,Southern ,4.13
Debb,34.1203,-118.2869,Southern ,13.85
Don,37.4356,-121.9581,Northern,14.66
Garden,37.0497,-122.0831,Northern,11.36
Griff,34.0994,-118.2008,Southern ,26.11
Irish,35.2514,-120.6933,Central,20.3
King,34.1022,-118.7092,Southern ,7.53
Lake,34.1836,-118.4997,Southern ,24.41
Lobos,37.0497,-122.0831,Northern,1.72
Long,37.1594,-121.8758,Northern,0.94
Marco,34.4567,-119.7667,Southern ,2.79
Oro,35.2581,-120.8872,Central,0.34
Pina,36.4814,-121.1817,Central,0.16
Ranch,34.1083,-118.7492,Southern ,2.14
Sand,34.1072,-118.9092,Southern ,1.19
Seaside,36.6439,-121.8053,Central,48.58
