"lon","lat","unc"
-97.927435,29.321697,NA
-98.593825,29.41164,44
-118.009277,33.694546,3
-96.785039,33.103608,NA
-116.956178,33.034978,5
-117.24682,32.939255,6
-98.728365,30.218173,3
-97.61082,30.459893,2
-117.794538,33.570028,8
-99.141279,30.138268,12
-100.336987,29.861152,5
-98.729252,30.217082,6
-117.94093,33.658793,141
-117.738877,33.839143,56
-117.94093,33.658793,141
-117.710255,33.462203,6
-99.014244,30.408425,3
-117.243178,32.668046,3
-117.21475,32.778059,144
-112.315995,33.901008,9
-111.086617,33.650047,3
-111.101345,33.256838,NA
-97.600236,30.455903,8
-121.808674,37.280325,14
-117.401913,33.830238,99
-116.89975,32.826887,3
-117.940172,33.662871,NA
-111.82195,34.873802,NA
-117.27417,33.003922,4
-98.309852,29.632226,3
-98.691818,29.452275,4
-121.502297,36.760183,69
-98.789208,30.506771,23
-98.085227,30.187277,NA
-98.339196,29.676958,11
-121.796837,37.714928,3
-98.579108,29.262734,3
-98.61605,29.583777,5
-98.406687,29.518917,2
-117.892442,33.644561,NA
-117.819271,33.855644,10
-117.756295,33.573813,2
-117.959698,33.632887,5
-98.451732,29.301992,4
-122.181774,37.79909,4
-117.233078,32.839662,7
-122.182708,37.798187,71
-117.026317,32.812476,48
-112.206525,33.641392,NA
-110.85407,32.200304,19
-112.195053,32.968033,3
-111.784535,34.87198,NA
-110.922975,32.216162,3
-110.73718,32.180441,412
-110.987525,32.454859,9
-118.418086,33.896455,38
-118.971155,34.155642,2
-98.856046,30.295324,3
-117.76216,33.783456,66
-96.777407,32.838767,61
-98.514523,29.637138,3
-98.451679,29.546182,5
-111.706584,33.427855,50
-118.098033,34.175606,NA
-98.216861,29.578102,8
-98.217379,29.577832,5
-117.947371,34.120006,NA
-119.535259,34.027772,12
-98.446806,29.553226,27
-98.818414,29.885611,4
-117.959694,33.632408,4
-117.764375,33.60809,3
-98.446059,29.553645,3
-99.417343,29.989852,9
-97.757995,30.416563,2
-98.362247,29.556064,5
-98.367767,30.743308,3
-98.366791,30.742283,4
-98.126219,29.72093,6
-119.784186,34.054081,14
-119.786138,34.057061,4
-98.446834,29.55323,6
-117.451686,33.83375,6
-117.934994,33.660981,NA
-117.84085,33.578228,71
-99.755802,31.409839,7
-117.778672,33.591748,204
-117.275319,33.014264,NA
-119.800178,34.044311,6
-117.3591,33.168927,4
-98.291698,29.561834,195
-117.881286,33.652851,63
-117.813103,33.921745,19
-117.370825,33.775728,NA
-117.805542,33.593772,6
-98.630225,29.560017,5
-116.657502,33.990322,NA
-117.556317,33.634144,NA
-98.334655,29.68235,3
-118.010819,33.697053,NA
-118.024179,33.684938,4
-117.126346,34.109355,82
-112.024597,33.684624,NA
-118.441795,33.354892,3
-98.565984,29.578955,15
-117.958387,33.632474,4
-117.944733,34.116325,NA
-117.139996,32.638231,3
-110.947647,32.2869,4
-118.05532,33.710279,737
-110.72602,32.216163,3
-110.902055,32.275401,15
-110.827827,32.087223,NA
-118.881575,34.171433,3
-110.826843,32.08773,NA
-116.560545,32.914211,NA
-97.710701,30.888159,NA
-117.945123,34.117346,18
-117.959316,33.632125,8
-98.069189,30.617109,223
-98.372308,31.511009,14
-117.638849,33.698501,NA
-110.731415,32.184196,3
-97.729377,30.664609,170
-111.960983,33.895816,3
-119.198372,34.291073,112
-119.763339,34.054008,NA
-98.471679,29.602982,3
-111.16841,33.280047,NA
-97.713797,30.886775,189
-110.951806,32.287781,14
-110.887464,32.243581,4
-98.371646,31.51113,5
-117.012347,32.890499,8
-117.180488,32.892617,10
-118.59973,33.029797,6
-96.784264,33.103044,NA
-117.012404,32.890455,7
-118.372468,34.468695,NA
-118.726876,34.098889,8
-118.325172,34.126972,21
-117.815939,34.059643,635
-118.382825,33.745476,2
-119.729618,34.030023,5
-99.204927,30.309027,9
-121.2263,36.477242,NA
-118.704925,34.031014,4
-118.097572,34.175993,92
-118.098514,34.179046,67
-97.770605,29.306137,2
-97.65907,29.073747,78
-98.442309,29.593683,4
